LotArea,TotalBsmtSF,1stFlrSF,GrLivArea,SalePrice,RegularLotShape,LandIsLvl,LotConfigCL,LotAdjacencyType,HouseCondition,YrBuilt,WasRemodeled,VeneerType,HeatingQuality,EleSystem,BsmtHasBath,HasHalfBath,Bedrooms,RemainingRooms,AdditionalRooms,NumFireplaces,GarageAreaByCar,HasDeck,HasPool,MonthSold,YearSold
8450,856,856,1710,208500,1,1,0,0,2,1,0,1,0,0,1,1,2,5,3,0,2,0,0,1,2
9600,1262,1262,1262,181500,1,1,3,1,1,1,0,0,0,0,1,0,2,3,1,1,2,1,0,4,1
11250,920,920,1786,223500,0,1,0,0,2,1,1,1,0,0,1,1,2,3,1,1,2,0,0,8,2
9550,756,961,1717,140000,0,1,1,0,2,0,1,0,2,0,1,0,2,4,2,1,3,0,0,1,0
14260,1145,1145,2198,250000,0,1,3,0,2,1,0,1,0,0,1,1,3,5,3,1,3,1,0,11,2
14115,796,796,1362,143000,0,1,0,0,1,1,1,0,0,0,1,1,0,4,2,0,2,1,0,9,3
10084,1686,1694,1694,307000,1,1,0,0,2,1,1,2,0,0,1,0,2,4,2,1,2,1,0,7,1
10382,1107,1107,2090,200000,0,1,1,3,2,1,0,2,0,0,1,1,2,4,2,2,2,1,0,10,3
6120,952,1022,1774,129900,1,1,0,1,2,0,1,0,2,1,0,0,1,6,4,2,2,1,0,3,2
7420,991,1077,1077,118000,1,1,1,1,1,0,1,0,0,0,1,0,1,3,1,2,1,0,0,0,2
11200,1040,1040,1040,129500,1,1,0,0,1,1,0,0,0,0,1,0,2,2,0,0,1,0,0,1,2
12968,912,912,912,144000,0,1,0,0,1,1,0,0,1,0,1,0,1,2,0,0,1,1,0,8,2
10652,1494,1494,1494,279500,0,1,0,0,2,1,1,2,0,0,0,0,2,4,2,1,3,1,0,7,1
10920,1253,1253,1253,157000,0,1,1,0,1,1,0,1,1,0,1,1,1,3,1,1,1,0,0,4,2
6120,832,854,854,132000,1,1,1,0,2,0,1,0,0,1,0,0,1,3,1,0,2,1,0,6,1
11241,1004,1004,1004,149000,0,1,2,0,1,1,0,1,0,0,1,0,1,3,1,1,2,0,0,2,4
10791,0,1296,1296,90000,1,1,0,0,1,1,0,0,1,0,0,0,1,4,2,0,2,0,0,9,0
13695,1114,1114,1114,159000,1,1,0,2,1,1,0,0,0,0,1,1,2,3,1,0,2,0,0,5,2
7560,1029,1339,1339,139000,1,1,0,0,1,1,1,0,1,0,0,0,2,3,1,0,1,0,0,4,3
14215,1158,1158,2376,325300,0,1,1,0,2,1,1,1,0,0,0,1,3,5,3,1,3,1,0,10,0
7449,637,1108,1108,139400,1,0,0,0,2,0,1,0,0,1,0,0,2,3,1,1,1,0,0,5,1
4224,1040,1060,1060,129900,1,1,0,0,1,1,0,0,1,0,1,0,2,3,1,1,2,1,0,5,1
8246,1060,1060,1060,154000,0,1,0,0,1,1,1,0,0,0,1,0,2,3,1,1,1,1,0,4,4
14230,1566,1600,1600,256300,1,1,1,0,2,1,0,2,0,0,0,0,2,4,2,1,3,0,0,6,3
7200,900,900,900,134800,1,1,1,0,1,1,1,0,1,0,1,0,2,2,0,0,2,1,0,4,4
11478,1704,1704,1704,306000,1,1,0,0,2,1,1,2,0,0,1,0,2,4,2,1,3,0,0,4,4
16321,1484,1600,1600,207500,0,1,2,0,1,1,1,0,1,0,1,0,1,4,2,2,1,1,0,11,0
6324,520,520,520,68500,0,1,0,1,1,0,1,0,3,0,0,0,0,3,1,0,1,1,0,4,2
8500,649,649,1317,40000,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,0,1,0,0,6,2
8544,1228,1228,1228,149350,0,1,2,0,1,1,1,0,2,0,0,1,2,3,1,0,1,0,0,5,2
